month,deposit,pnl,balance,cumRet%
2023-08,0,-159361,4840639,-3.2
2023-09,2500000,214623,7555262,0.7
2023-10,2500000,1582965,11638227,16.4
2023-11,2500000,1183655,15321882,22.6
2023-12,2500000,1618562,19440444,29.6
2024-01,2500000,1515333,23455777,34.0
2024-02,0,5437557,28893334,65.1
2024-03,0,2433983,31327317,79.0
2024-04,0,2240758,33568075,91.8
2024-05,0,-1241857,32326218,84.7
2024-06,0,3829339,36155557,106.6
2024-07,0,-1094513,35061044,100.3
2024-08,0,274571,35335615,101.9
2024-09,0,6798376,42133991,140.8
2024-10,0,808387,42942378,145.4
2024-11,0,10002964,52945342,202.5
2024-12,0,4620138,57565480,228.9
2025-01,0,5676459,63241939,261.4
2025-02,0,3201841,66443781,279.7
2025-03,0,1954515,68398296,290.8
2025-04,0,2558246,70956542,305.5
2025-05,0,945783,71902325,310.9
2025-06,0,2868382,74770707,327.3
2025-07,0,11352639,86123346,392.1
2025-08,0,-774545,85348802,387.7
2025-09,0,2132792,87481594,399.9
2025-10,0,24877743,112359337,542.1
2025-11,0,4615353,116974690,568.4
2025-12,0,-11808616,105166074,500.9
2026-01,0,9354181,114520255,554.4
2026-02,0,-3040487,111479768,537.0
2026-03,0,9626982,121106750,592.0
2026-04,0,-1557520,119549230,583.1
2026-05,0,-1746611,117802619,573.2
