matched_rule,n,PF,OOS,totR
a_room+a_vol_expansion+a_volume||up||long,168,0.99,0.582,23.26
a_room+a_score_ge13+a_volume||range||short,80,1.419,1.31,8.79
a_fvg_absent+a_ob+a_room+a_trend_counter||range||short,61,1.389,1.271,9.53
a_fvg_absent+a_room+a_volume||up||long,55,1.635,1.568,25.16
a_fvg_absent+a_ob+a_room+a_trend_counter||up||short,45,1.064,0.666,12.5
a_fvg_absent+a_ob+a_room+a_trend_counter||up||long,38,1.011,0.425,22.24
a_room+a_score_ge13+a_trend_counter||down||long,22,0.855,0.515,1.32
a_fvg_absent+a_room+a_vol_expansion||up||long,18,2.47,3.204,5.78
a_trend_counter+a_vol_expansion+a_volume||up||long,18,0.709,0.037,8.55
a_fvg_absent+a_ob+a_score_ge13+a_volume||range||long,17,5.833,9.542,10.53
a_fvg_absent+a_room+a_score_ge13||range||long,15,1.261,2.171,4.7
a_mss+a_room+a_volume||down||short,13,1.045,3.827,2.02
a_room+a_score_ge13+a_volume||up||short,13,0.984,2.384,2.37
a_room+a_score_ge13+a_trend_counter||up||short,13,3.004,7.861,2.53
a_room+a_score_ge13+a_vol_expansion+a_volume||up||long,12,1.794,2.189,8.39
a_room+a_sweep+a_trend_counter+a_vol_expansion+a_volume||up||short,10,1.755,inf,1.63
a_room+a_score_ge13+a_vol_expansion+a_volume||down||short,10,0.839,0.152,2.21
a_mss+a_room+a_volume||up||short,9,4.05,2.119,6.7
a_fvg_absent+a_room+a_vol_expansion+a_volume||down||long,8,7.562,9.68,10.86
a_mss+a_score_ge13+a_vol_expansion||range||long,7,1.95,inf,2.47
a_mss+a_room+a_score_ge13+a_trend_counter||range||long,7,9.294,3.704,4.26
a_fvg_absent+a_ob+a_room+a_trend_counter+a_vol_expansion||down||long,7,2.758,inf,1.53
a_fvg_absent+a_ob+a_score_ge13+a_volume||down||short,7,21.015,37.887,2.09
a_score_ge13+a_vol_expansion+a_volume||up||long,6,0.874,0.166,3.53
a_fvg_absent+a_ob+a_score_ge13+a_volume||down||long,6,4.037,inf,3.08
a_room+a_score_ge13+a_vol_expansion+a_volume||range||short,6,7.615,inf,1.69
a_fvg_absent+a_room+a_sweep+a_trend_counter+a_volume||down||long,5,4.469,1.369,9.18
a_sweep+a_trend_counter+a_vol_expansion+a_volume||down||short,5,7.095,inf,1.92
a_fvg_absent+a_ob+a_room+a_score_ge13+a_trend_counter||up||long,4,5.707,inf,1.35
a_fvg_absent+a_ob+a_room+a_score_ge13+a_vol_expansion||down||long,4,22.183,inf,8.69
a_fvg_absent+a_ob+a_room+a_score_ge13+a_trend_counter||range||short,4,6.099,inf,2.41
a_mss+a_room+a_score_ge13+a_trend_counter+a_vol_expansion+a_volume||up||long,2,1.802,0.0,1.85
a_fvg_absent+a_ob+a_room+a_trend_counter+a_vol_expansion+a_volume||range||short,2,13.077,inf,2.32
a_fvg_absent+a_mss+a_ob+a_room+a_score_ge13+a_vol_expansion+a_volume||up||long,1,inf,inf,0.37
a_fvg_absent+a_mss+a_ob+a_room+a_score_ge13+a_volume||down||short,1,inf,inf,0.23
a_fvg_absent+a_mss+a_score_ge13+a_vol_expansion+a_volume||up||long,1,inf,inf,0.49
a_fvg_absent+a_ob+a_room+a_score_ge13+a_sweep+a_trend_counter+a_vol_expansion+a_volume||down||long,1,inf,inf,2.1
a_fvg_absent+a_mss+a_ob+a_room+a_score_ge13+a_vol_expansion+a_volume||range||short,1,inf,inf,0.4
a_mss+a_room+a_score_ge13+a_trend_counter+a_vol_expansion+a_volume||range||long,1,inf,inf,2.85
a_fvg_absent+a_room+a_score_ge13+a_trend_counter+a_volume||down||short,1,inf,inf,0.91
a_fvg_absent+a_score_ge13+a_trend_counter+a_volume||up||long,1,inf,inf,1.58
