scenario_name,execution_model,strategy_variant,risk_multiplier,effective_notional_cap,sa_cap_tag,symbol,entry_time,exit_time,side,entry,fill_entry,fill_vs_refined_pct,avg_entry_exec,sl,qty,notional,requested_notional,risk_pct_requested,risk_pct_base,actual_risk_amount,risk_per_unit_exec,r_multiple,net_pnl,result,exit_reason,hold_bars,score,grade,run_potential,rp_action,tier,tier_mult,pre_entry_total,pre_entry_sweep,wick_ratio_5,tp_plan_name,expansion_state,a_sweep,a_volume,a_pre_total_ge4,a_sweep_count_2_4,a_score_ge13,a_wick_le_q1,a_pre_total_ge1,a_trend_align,a_mss,a_fvg,a_ob,a_overlap,zone_has_ob,zone_has_fvg,h1_refined,h1_overlap_frac,zone_low_pre,zone_high_pre,ob_mode,sweep_recent_n,disp_atr_mult,disp_body_ratio,mss_mode,n_combos_matched,a_room,a_efficiency,a_bb_squeeze,a_vol_expansion,n_atoms_true,atoms_true,tag_sweep,tag_volume,pass_vol,pass_sweep,pass_d1,pass_pull,pass_atr,pass_combo,pass_count,filter_groups_active,entry_refined,entry_improved_by,max_rr_seen,runner_max_rr_seen,runner_candidate_2of3,post_2of3_apply_ok,runner_protected,proxy_runner,balance_at_entry,phase_at_entry,entry_cost_mode,slippage_applied_pct,split_tranches_used,balance_after_exit,phase_at_exit,month,btc_match_ts,btc_dist,btc_zone,a_fvg_absent,a_trend_counter,matched_rule,n_rules_matched,rule_natoms
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,BTCUSDT,2023-08-01 20:00:00+00:00,2023-08-02 00:00:00+00:00,short,29363.8,29363.8,0.0,29363.8,29463.505714285715,0.22703691847331292,6666.666666666666,6666.666666666666,0.022,0.022,22.636878125609456,99.70571428571566,-1.2950046852164903,-29.314863231338926,loss,stop,1,11.0,B,1,rp_boost_rp1_x1.5,B,1.0,0,0,0.18596129623267335,base,False,False,True,False,False,True,True,False,True,False,False,True,False,True,False,False,0.0,29363.8,29395.9,engulf,10,1.3,0.45,legacy,1,True,False,False,False,5,"a_volume,a_score_ge13,a_wick_le_q1,a_trend_align,a_room",False,True,True,False,False,False,False,VOLUME,1,False,False,0.0,0.0,,False,False,False,False,2222.222222222222,A,direct_under_threshold,0.0,1,2192.907358990883,A,2023-08,2023-08-01 16:00:00,-0.3841611777673473,range,True,False,a_room+a_score_ge13+a_volume||range||short,1,3
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,BNBUSDT,2023-08-04 08:00:00+00:00,2023-08-05 16:00:00+00:00,short,242.3,242.3,0.0,242.3,244.488,12.02691421750034,2914.1213149003324,2914.1213149003324,0.012,0.012,26.314888307890598,2.187999999999988,0.1393845978062151,3.667890123110803,win,stop,8,10.25,B,1,tier_d_skip,D,1.0,0,0,0.3107344632768242,base,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,0.0,242.3,244.28,engulf,10,1.3,0.45,legacy,1,True,False,False,False,4,"a_volume,a_score_ge13,a_wick_le_q1,a_fvg,a_room",False,True,True,False,False,False,False,VOLUME,1,False,False,0.0,1.074040219378444,,False,False,False,False,2192.907358990883,A,direct_under_threshold,0.0,1,2196.575249113994,A,2023-08,2023-08-04 04:00:00,-0.23228252870329072,range,False,True,a_room+a_score_ge13+a_volume||range||short,1,3
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,ADAUSDT,2023-08-08 04:00:00+00:00,2023-08-08 12:00:00+00:00,short,0.2923,0.2923,0.0,0.2923,0.29639714285714286,4288.989328813938,1253.6715808123142,1253.6715808123142,0.008,0.008,17.572601992911952,0.004097142857142855,-1.07184239888424,-18.835059874720724,loss,stop,2,11.0,B,1,tier_d_skip,D,1.0,0,0,0.24324324324324587,expansion,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,1.0,0.2923,0.293,engulf,10,1.3,0.45,legacy,1,True,False,True,False,5,"a_volume,a_score_ge13,a_wick_le_q1,a_trend_align,a_room",False,True,True,False,False,False,False,VOLUME,1,False,True,1.0,0.5613668061366869,,False,False,False,False,2196.575249113994,A,direct_under_threshold,0.0,1,2177.740189239273,A,2023-08,2023-08-08 00:00:00,-0.06267196996144024,range,True,False,a_room+a_score_ge13+a_volume||range||short,1,3
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,BNBUSDT,2023-08-09 12:00:00+00:00,2023-08-09 16:00:00+00:00,long,243.51,243.51,0.0,243.51,242.77947,26.82937278845969,6533.220567717819,6533.220567717819,0.012,0.012,19.59966170315312,0.7305299999999875,-1.332833333333339,-26.123082440019363,loss,stop,1,8.0,B,1,tier_d_skip,D,1.0,0,0,0.48540145985401223,base,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0,243.49,243.51,engulf,10,1.3,0.45,legacy,1,True,False,False,False,3,"a_volume,a_trend_align,a_room",False,True,True,False,False,False,False,VOLUME,1,False,False,0.0,0.5612363626408273,,False,False,False,False,2177.740189239273,A,direct_under_threshold,0.0,1,2151.6171067992536,A,2023-08,2023-08-09 08:00:00,1.1055655061189895,up,True,False,a_fvg_absent+a_room+a_volume||up||long,1,3
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,LINKUSDT,2023-08-11 16:00:00+00:00,2023-08-13 16:00:00+00:00,long,7.454,7.454,0.0,7.454,7.089182857142857,47.18236845885936,351.69737449233764,351.69737449233764,0.008,0.008,17.21293685439403,0.3648171428571425,0.2097050577197203,3.609639916576601,time_exit_non_runner,time_exit_non_runner,12,10.5,B,1,rp_boost_rp1_x1.5,B,1.0,0,0,0.20744680851063327,base,False,False,True,False,False,True,True,False,True,False,False,True,False,True,False,False,0.0,7.388,7.454,engulf,10,1.3,0.45,legacy,1,True,True,False,False,5,"a_volume,a_score_ge13,a_wick_le_q1,a_trend_align,a_room",False,True,False,True,False,False,False,SWEEP,1,False,False,0.0,0.2741099259120046,,False,False,False,False,2151.6171067992536,A,direct_under_threshold,0.0,1,2155.2267467158304,A,2023-08,2023-08-11 12:00:00,0.14910817330415738,range,True,False,a_fvg_absent+a_ob+a_score_ge13+a_volume||range||long,2,4
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,ETHUSDT,2023-08-31 20:00:00+00:00,2023-09-01 16:00:00+00:00,long,1704.54,1704.54,0.0,1704.54,1615.8602285714285,0.3645521484770275,621.3937191650324,621.3937191650324,0.015,0.015,32.32840120073745,88.67977142857148,-1.018721294468186,-32.933630719302116,loss,stop,5,8.75,B,1,rp_boost_rp1_x1.5,A,1.0,5,2,0.3803095542883731,base,False,False,True,True,True,False,False,True,False,False,True,False,False,False,True,True,0.015306122448980643,1647.24,1708.0,engulf,10,1.3,0.45,legacy,1,True,True,False,True,4,"a_volume,a_pre_total_ge4,a_sweep_count_2_4,a_pre_total_ge1,a_fvg,a_room",False,True,True,True,False,False,False,SWEEP+VOLUME,2,False,True,0.015306122448980643,0.0,,False,False,False,False,2155.2267467158304,A,direct_under_threshold,0.0,1,3603.7745974780096,A,2023-09,2023-08-31 16:00:00,1.9522912208357988,up,False,True,a_room+a_vol_expansion+a_volume||up||long,2,3
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,BTCUSDT,2023-08-31 16:00:00+00:00,2023-09-02 16:00:00+00:00,long,26113.7,26113.7,0.0,26113.7,25245.52742857143,0.05461470448176826,1426.1920084255519,1426.1920084255519,0.022,0.022,47.41498842774826,868.1725714285712,-0.36636454602179414,-17.371170709960616,time_exit_non_runner,time_exit_non_runner,12,8.25,B,1,rp_boost_rp1_x1.5,B,1.0,0,0,0.08426234255103088,base,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,0.0,26085.6,26113.7,engulf,10,1.3,0.45,legacy,1,True,True,False,True,4,"a_volume,a_wick_le_q1,a_fvg,a_room",False,True,True,False,False,False,False,VOLUME,1,False,False,0.0,0.07636730551266223,,False,False,False,False,2155.2267467158304,A,direct_under_threshold,0.0,1,3586.403426768049,A,2023-09,2023-08-31 12:00:00,2.4310325358769043,up,False,True,a_room+a_vol_expansion+a_volume||up||long,2,3
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,AVAXUSDT,2023-09-05 20:00:00+00:00,2023-09-06 16:00:00+00:00,short,9.862,9.862,0.0,9.862,10.053257142857142,168.7656228610612,1664.3665726557854,1664.3665726557854,0.009,0.009,32.27763084091244,0.19125714285714146,-1.0520640872423068,-33.95813622898868,loss,stop,5,10.0,B,1,rp_boost_rp1_x1.5,C,1.0,2,1,0.267029972752045,base,False,False,True,False,False,True,True,True,True,False,False,True,False,True,False,True,0.4374999999999792,9.862,9.91,engulf,10,1.3,0.45,legacy,1,True,False,True,False,5,"a_volume,a_score_ge13,a_wick_le_q1,a_pre_total_ge1,a_trend_align,a_room",False,True,False,False,False,False,False,none,0,False,True,0.4374999999999792,0.6326561099492152,,False,False,False,False,3586.403426768049,A,direct_under_threshold,0.0,1,3552.4452905390604,A,2023-09,2023-09-05 16:00:00,-0.23555741044659523,range,True,False,a_room+a_score_ge13+a_volume||range||short,1,3
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,DOGEUSDT,2023-09-07 20:00:00+00:00,2023-09-08 08:00:00+00:00,short,0.06364,0.06364,0.0,0.06364,0.06466148571428572,27821.791266249016,1770.5787961840874,1770.5787961840874,0.008,0.008,28.419562324312484,0.0010214857142857164,0.1878235902886553,5.3378642301845725,win,stop,3,10.0,B,1,tier_d_skip,D,1.0,0,0,0.40372670807452926,base,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,0.7999999999999815,0.06361,0.06376,engulf,10,1.3,0.45,legacy,1,True,True,False,False,5,"a_volume,a_score_ge13,a_trend_align,a_room",False,True,False,False,False,False,False,none,0,False,True,0.7999999999999815,1.302025061535021,,False,False,False,False,3552.4452905390604,A,direct_under_threshold,0.0,1,3557.783154769245,A,2023-09,2023-09-07 16:00:00,-0.2784712613628169,range,True,False,a_room+a_score_ge13+a_volume||range||short,1,3
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,ETHUSDT,2023-09-16 00:00:00+00:00,2023-09-16 04:00:00+00:00,short,1641.6,1641.6,0.0,1641.6,1646.5248,6.501796700967188,10673.349464307736,10673.349464307736,0.015,0.015,32.020048392923236,4.924800000000005,-0.08320833333333302,-2.664334860027811,loss,stop,1,9.0,B,0,tier_d_skip,D,1.0,0,0,0.28056984566681104,base,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,0.0,1641.6,1644.53,engulf,10,1.3,0.45,legacy,1,True,False,False,False,5,"a_volume,a_wick_le_q1,a_room",False,True,True,True,False,False,False,SWEEP+VOLUME,2,False,False,0.0,1.6122482131253695,,False,False,False,False,3557.783154769245,A,direct_under_threshold,0.0,1,3555.118819909217,A,2023-09,2023-09-15 20:00:00,1.6717706936777186,up,True,True,a_fvg_absent+a_ob+a_room+a_trend_counter||up||short,1,4
