matched_setup,n,win_pct,expR,PF,IS_PF,OOS_PF,MDD_R,tot_R,n_atoms
efficiency+fvg+volume+wick_le_q1,558,53.05,0.1326,1.1896,1.0551,1.3014,-14.47,73.99,4
efficiency+fvg+room+vol_expansion+volume+wick_le_q1,273,52.75,0.1415,1.2122,0.9859,1.4533,-17.4,38.64,6
efficiency+ob+room,190,51.05,0.0836,1.1588,1.0545,1.2524,-11.23,15.88,3
room+score_ge13+trend_align+vol_expansion+volume+wick_le_q1,77,57.14,0.3096,1.712,1.867,1.5554,-8.65,23.84,6
efficiency+fvg+room+vol_expansion+volume,64,56.25,0.2619,1.4018,2.0546,0.8337,-4.69,16.76,5
efficiency+fvg+room+sweep_count_2_4+trend_align+wick_le_q1,47,63.83,0.2197,1.0294,1.6249,0.6595,-3.15,10.33,6
room+sweep+vol_expansion+wick_le_q1,39,66.67,0.4625,2.6506,2.5687,2.7366,-2.31,18.04,4
score_ge13+trend_align+vol_expansion+volume,36,55.56,0.2381,3.8836,0.8681,8.3271,-2.93,8.57,4
bb_squeeze+ob+pre_total_ge1+pre_total_ge4+room+wick_le_q1,24,50.0,-0.0678,0.8253,0.9543,0.7462,-4.51,-1.63,6
ob+pre_total_ge1+pre_total_ge4+vol_expansion+volume+wick_le_q1,22,72.73,0.2705,1.746,1.942,1.6242,-2.66,5.95,6
bb_squeeze+pre_total_ge1+pre_total_ge4+score_ge13+trend_align+wick_le_q1,21,57.14,0.2963,2.7224,0.5503,206.0823,-4.21,6.22,6
ob+room+score_ge13+vol_expansion+volume+wick_le_q1,8,87.5,0.7051,39.3228,7.0924,inf,-0.4,5.64,6
