scenario_name,execution_model,strategy_variant,risk_multiplier,effective_notional_cap,sa_cap_tag,symbol,entry_time,exit_time,side,entry,fill_entry,fill_vs_refined_pct,avg_entry_exec,sl,qty,notional,requested_notional,risk_pct_requested,risk_pct_base,actual_risk_amount,risk_per_unit_exec,r_multiple,net_pnl,result,exit_reason,hold_bars,score,grade,run_potential,rp_action,tier,tier_mult,pre_entry_total,pre_entry_sweep,wick_ratio_5,tp_plan_name,expansion_state,a_sweep,a_volume,a_pre_total_ge4,a_sweep_count_2_4,a_score_ge13,a_wick_le_q1,a_pre_total_ge1,a_trend_align,a_mss,a_fvg,a_ob,a_overlap,zone_has_ob,zone_has_fvg,h1_refined,h1_overlap_frac,zone_low_pre,zone_high_pre,ob_mode,sweep_recent_n,disp_atr_mult,disp_body_ratio,mss_mode,n_combos_matched,a_room,a_efficiency,a_bb_squeeze,a_vol_expansion,n_atoms_true,atoms_true,tag_sweep,tag_volume,pass_vol,pass_sweep,pass_d1,pass_pull,pass_atr,pass_combo,pass_count,filter_groups_active,entry_refined,entry_improved_by,max_rr_seen,runner_max_rr_seen,runner_candidate_2of3,post_2of3_apply_ok,runner_protected,proxy_runner,balance_at_entry,phase_at_entry,entry_cost_mode,slippage_applied_pct,split_tranches_used,balance_after_exit,phase_at_exit,month,matched_setup,n_setups_matched
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,ETHUSDT,2023-07-31 00:00:00+00:00,2023-08-01 20:00:00+00:00,short,1865.42,1865.42,0.0,1865.42,1886.9358857142859,1.549242907123325,2889.988703805993,2889.988703805993,0.015,0.015,33.33333333333333,21.515885714285787,0.3635253388858201,12.117511296194003,win,stop,11,9.75,B,2,rp_pass_rp2,B,1.0,2,1,0.20793346129239468,expansion,True,False,True,False,False,False,True,True,True,False,True,False,False,False,True,False,0.0,1865.42,1870.21,engulf,10,1.3,0.45,legacy,1,False,True,True,False,5,"a_volume,a_wick_le_q1,a_pre_total_ge1,a_trend_align,a_fvg",False,True,True,False,False,False,False,VOLUME,1,False,False,0.0,2.646881506820203,,False,False,False,False,2222.222222222222,A,direct_under_threshold,0.0,1,3715.8212149998976,A,2023-08,efficiency+fvg+volume+wick_le_q1,1
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,BTCUSDT,2023-08-01 20:00:00+00:00,2023-08-02 00:00:00+00:00,short,29363.8,29363.8,0.0,29363.8,29463.505714285715,0.3796328692131023,11147.463644999692,11147.463644999692,0.022,0.022,37.85156639122804,99.70571428571566,-1.2950046852164903,-49.01795581942335,loss,stop,1,11.0,B,1,rp_boost_rp1_x1.5,B,1.0,0,0,0.18596129623267335,base,False,False,True,False,False,True,True,False,True,False,False,True,False,True,False,False,0.0,29363.8,29395.9,engulf,10,1.3,0.45,legacy,1,False,False,False,True,4,"a_volume,a_score_ge13,a_wick_le_q1,a_trend_align",False,True,True,False,False,False,False,VOLUME,1,False,False,0.0,0.0,,False,False,False,False,3715.8212149998976,A,direct_under_threshold,0.0,1,3666.8032591804745,A,2023-08,score_ge13+trend_align+vol_expansion+volume,1
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,BNBUSDT,2023-08-01 12:00:00+00:00,2023-08-02 16:00:00+00:00,long,244.28,244.28,0.0,244.28,240.17834285714284,10.835728803379453,2646.9518320895327,2646.9518320895327,0.012,0.012,44.44444444444444,4.101657142857164,-0.7592064162220145,-33.742507387645084,loss,stop,7,10.75,A,2,rp_pass_rp2,B,1.0,1,0,0.12399119589141795,expansion,True,False,True,False,False,True,True,True,True,False,True,False,False,False,True,False,0.0,242.3,244.28,engulf,10,1.3,0.45,legacy,1,False,False,False,True,6,"a_volume,a_score_ge13,a_wick_le_q1,a_pre_total_ge1,a_trend_align,a_fvg",False,True,True,False,False,False,False,VOLUME,1,False,False,0.0,1.1093077362459745,,False,False,False,False,3703.7037037037035,A,direct_under_threshold,0.0,1,3633.0607517928293,A,2023-08,score_ge13+trend_align+vol_expansion+volume,1
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,ETHUSDT,2023-08-03 16:00:00+00:00,2023-08-05 16:00:00+00:00,short,1847.23,1847.23,0.0,1847.23,1880.6149714285714,1.632348597137154,3015.323299089665,3015.323299089665,0.015,0.015,54.495911276892436,33.38497142857136,0.47507490795687474,25.889640033895684,time_exit_non_runner,time_exit_non_runner,12,9.75,B,2,tier_d_skip,D,1.0,0,0,0.23517038283552055,base,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,0.0,1847.23,1852.85,engulf,10,1.3,0.45,legacy,1,False,True,False,True,4,"a_volume,a_wick_le_q1,a_trend_align,a_fvg",False,True,True,False,False,False,False,VOLUME,1,False,False,0.0,1.15201536362812,,False,False,False,False,3633.0607517928293,A,direct_under_threshold,0.0,1,3658.950391826725,A,2023-08,efficiency+fvg+volume+wick_le_q1,1
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,BNBUSDT,2023-08-04 16:00:00+00:00,2023-08-05 16:00:00+00:00,short,242.92,242.92,0.0,242.92,244.25514285714286,32.653231666016985,7932.123036308845,7932.123036308845,0.012,0.012,43.59672902151395,1.3351428571428698,0.4683819227477013,20.419919764607215,win,stop,6,7.75,B,1,tier_d_skip,D,1.0,0,0,0.33130699088145793,base,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,0.0,242.92,243.29,engulf,10,1.3,0.45,legacy,1,False,True,False,True,3,"a_volume,a_wick_le_q1,a_fvg",False,True,True,False,False,False,False,VOLUME,1,False,False,0.0,2.224481061416627,,False,False,False,False,3633.0607517928293,A,direct_under_threshold,0.0,1,3679.370311591332,A,2023-08,efficiency+fvg+volume+wick_le_q1,1
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,ETHUSDT,2023-08-08 20:00:00+00:00,2023-08-09 00:00:00+00:00,short,1857.38,1857.38,0.0,1857.38,1863.3445714285715,5.9428393407778675,11038.110934773997,11038.110934773997,0.015,0.015,35.4464897365937,5.964571428571389,-0.061277088522707586,-2.172057689408498,loss,stop,1,8.75,B,2,tier_d_skip,D,1.0,0,0,0.25257069408740246,base,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,0.0,1857.38,1862.21,engulf,10,1.3,0.45,legacy,1,False,True,False,False,4,"a_volume,a_wick_le_q1,a_trend_align,a_fvg",False,True,True,True,False,False,False,SWEEP+VOLUME,2,False,False,0.0,1.1232994826595284,,False,False,False,False,3679.370311591332,A,direct_under_threshold,0.0,1,3677.1982539019236,A,2023-08,efficiency+fvg+volume+wick_le_q1,1
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,ETHUSDT,2023-08-10 00:00:00+00:00,2023-08-10 12:00:00+00:00,short,1855.14,1855.14,0.0,1855.14,1860.70542,5.946502561373142,11031.594761705772,11031.594761705772,0.015,0.015,33.09478428511674,5.565419999999904,-0.08320833333333916,-2.753761842390948,loss,stop,3,8.25,B,1,tier_d_skip,D,1.0,0,0,0.3336267605633756,base,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,0.8185328185328022,1854.67,1857.26,engulf,10,1.3,0.45,legacy,1,False,True,False,True,3,"a_volume,a_wick_le_q1,a_fvg",False,True,True,False,False,False,False,VOLUME,1,False,True,0.8185328185328022,1.4500253350152017,,False,False,False,False,3677.1982539019236,A,direct_under_threshold,0.0,1,3674.444492059533,A,2023-08,efficiency+fvg+volume+wick_le_q1,1
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,LINKUSDT,2023-08-10 08:00:00+00:00,2023-08-10 20:00:00+00:00,long,7.572,7.572,0.0,7.572,7.504502857142858,435.8345373740875,3300.139116996591,3300.139116996591,0.008,0.008,29.41758603121539,0.06749714285714248,0.5374924737555022,15.811731087833268,win,stop,3,7.75,B,2,rp_pass_rp2,B,1.0,1,1,0.18120805369127307,base,False,False,True,False,False,False,True,True,True,False,True,False,False,False,True,False,0.0,7.516,7.572,engulf,10,1.3,0.45,legacy,1,False,True,False,True,5,"a_volume,a_wick_le_q1,a_pre_total_ge1,a_trend_align,a_fvg",False,True,True,False,False,False,False,VOLUME,1,False,False,0.0,2.414917033525246,,False,False,False,False,3677.1982539019236,A,direct_under_threshold,0.0,1,3690.256223147366,A,2023-08,efficiency+fvg+volume+wick_le_q1,1
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,XRPUSDT,2023-08-09 00:00:00+00:00,2023-08-11 00:00:00+00:00,long,0.6347,0.6347,0.0,0.6347,0.594016,723.0750671324193,458.9357451089466,458.9357451089466,0.008,0.008,29.417586031215386,0.04068400000000005,-0.008230508307935126,-0.24212168622931454,time_exit_non_runner,time_exit_non_runner,12,9.25,B,1,rp_boost_rp1_x1.5,B,1.0,2,1,0.19999999999999601,base,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,True,0.8974358974359091,0.6312,0.6351,engulf,10,1.3,0.45,legacy,1,False,True,True,False,4,"a_volume,a_wick_le_q1,a_pre_total_ge1,a_fvg",False,True,True,False,False,False,False,VOLUME,1,False,True,0.8974358974359091,0.7693442139415975,,False,False,False,False,3677.1982539019236,A,direct_under_threshold,0.0,1,3690.0141014611368,A,2023-08,efficiency+fvg+volume+wick_le_q1,1
BTC+ETH+SOL+XRP+DOGE+AVAX+LINK+BNB+ADA v19b norefine rpboost (9coins),orderbook_split_proxy,v19b_norefine_rpboost_9coins,1.0,3.0,capFixed,AVAXUSDT,2023-08-11 00:00:00+00:00,2023-08-11 20:00:00+00:00,short,12.572,12.572,0.0,12.572,12.640337142857144,485.97476459579866,6109.674740498381,6109.674740498381,0.009,0.009,33.210126913150226,0.06833714285714443,1.9074587716363955,63.34694788764633,win,stop,5,9.25,B,2,rp_pass_rp2,S,1.0,5,0,0.12749003984063076,base,False,False,True,True,False,False,True,True,True,False,True,False,False,False,True,True,0.43511450381679606,12.498,12.629,engulf,10,1.3,0.45,legacy,1,False,True,True,False,6,"a_volume,a_pre_total_ge4,a_wick_le_q1,a_pre_total_ge1,a_trend_align,a_fvg",False,True,True,False,False,False,False,VOLUME,1,False,True,0.43511450381679606,3.307132703403205,2.648632828831769,True,False,False,False,3690.0141014611368,A,direct_under_threshold,0.0,1,3753.361049348783,A,2023-08,efficiency+fvg+volume+wick_le_q1,1
