matched_setup,n,win_pct,PF,OOS_PF,expR,n_atoms
efficiency+fvg+volume+wick_le_q1,545,53.21,1.2291,1.3245,0.1516,4
efficiency+fvg+room+vol_expansion+volume+wick_le_q1,288,52.78,1.1692,1.3201,0.1392,6
efficiency+ob+wick_le_q1,165,49.7,1.1635,1.1202,0.0999,3
efficiency+fvg+room+vol_expansion+volume,64,56.25,1.4164,0.8351,0.2671,5
room+score_ge13+trend_align+vol_expansion+volume+wick_le_q1,52,59.62,2.4303,2.9621,0.4419,6
efficiency+ob+room,49,57.14,1.3534,1.5321,0.1748,3
efficiency+fvg+room+sweep_count_2_4+trend_align+wick_le_q1,46,65.22,1.0745,0.7447,0.247,6
room+sweep+vol_expansion+wick_le_q1,35,65.71,2.1673,2.2385,0.3872,4
score_ge13+trend_align+vol_expansion+volume,32,53.12,3.8614,8.3076,0.2404,4
bb_squeeze+pre_total_ge1+pre_total_ge4+score_ge13+trend_align+wick_le_q1,29,55.17,1.4564,2.3869,0.1196,6
fvg+score_ge13+volume+wick_le_q1,22,50.0,0.5696,0.7471,-0.0333,4
ob+pre_total_ge1+pre_total_ge4+vol_expansion+volume+wick_le_q1,18,72.22,1.9176,1.5941,0.3641,6
bb_squeeze+ob+pre_total_ge1+pre_total_ge4+room+wick_le_q1,15,60.0,1.654,0.7423,0.2807,6
ob+room+score_ge13+vol_expansion+volume+wick_le_q1,8,87.5,39.7241,inf,0.7051,6
