month,deposit,pnl,balance,cumRet%,ma3
2022-02,0,805856,5805856,16.1,
2022-03,2500000,1214688,9520544,26.9,
2022-04,2500000,242982,12263526,22.6,754508.6666666666
2022-05,2500000,-1088884,13674642,9.4,122928.66666666667
2022-06,2500000,339368,16514010,10.1,-168844.66666666666
2022-07,2500000,3610931,22624941,29.3,953805.0
2022-08,0,-1687110,20937831,19.6,754396.3333333334
2022-09,0,217149,21154980,20.9,713656.6666666666
2022-10,0,106568,21261548,21.5,-454464.3333333333
2022-11,0,367348,21628896,23.6,230355.0
2022-12,0,1811546,23440442,33.9,761820.6666666666
2023-01,0,-2021447,21418995,22.4,52482.333333333336
2023-02,0,396222,21815217,24.7,62107.0
2023-03,0,-319476,21495741,22.8,-648233.6666666666
2023-04,0,-75468,21420273,22.4,426.0
2023-05,0,-1014204,20406069,16.6,-469716.0
2023-06,0,1270133,21676202,23.9,60153.666666666664
2023-07,0,1103894,22780096,30.2,453274.3333333333
2023-08,0,-1216049,21564047,23.2,385992.6666666667
2023-09,0,3885241,25449288,45.4,1257695.3333333333
2023-10,0,7149914,32599202,86.3,3273035.3333333335
2023-11,0,13374253,45973455,162.7,8136469.333333333
2023-12,0,4802699,50776154,190.1,8442288.666666666
2024-01,0,12854651,63630805,263.6,10343867.666666666
2024-02,0,11746843,75377648,330.7,9801397.666666666
2024-03,0,19829290,95206938,444.0,14810261.333333334
2024-04,0,51972404,147179342,741.0,27849512.333333332
2024-05,0,-10004575,137174767,683.9,20599039.666666668
2024-06,0,25459802,162634569,829.3,22475877.0
2024-07,0,46995121,209629690,1097.9,20816782.666666668
2024-08,0,14280962,223910652,1179.5,28911961.666666668
2024-09,0,60298751,284209403,1524.1,40524944.666666664
2024-10,0,49361008,333570411,1806.1,41313573.666666664
2024-11,0,240338256,573908667,3179.5,116666005.0
2024-12,0,133069285,706977952,3939.9,140922849.66666666
2025-01,0,277571737,984549689,5526.0,216993092.66666666
2025-02,0,124697469,1109247158,6238.6,178446163.66666666
2025-03,0,254956542,1364203700,7695.4,219075249.33333334
2025-04,0,166029688,1530233388,8644.2,181894566.33333334
2025-05,0,64394771,1594628159,9012.2,161793667.0
2025-06,0,329937920,1924566079,10897.5,186787459.66666666
2025-07,0,243978980,2168545059,12291.7,212770557.0
2025-08,0,-101963115,2066581944,11709.0,157317928.33333334
2025-09,0,176243703,2242825647,12716.1,106086522.66666667
2025-10,0,1902783174,4145608821,23589.2,659021254.0
2025-11,0,370459710,4516068531,25706.1,816495529.0
2025-12,0,-272796932,4243271599,24147.3,666815317.3333334
2026-01,0,649961917,4893233516,27861.3,249208231.66666666
2026-02,0,83996161,4977229677,28341.3,153720382.0
2026-03,0,725274268,5702503945,32485.7,486410782.0
2026-04,0,139573790,5842077735,33283.3,316281406.3333333
2026-05,0,185599004,6027676739,34343.9,350149020.6666667
2026-06,0,223852746,6251529485,35623.0,183008513.33333334
