월,BE@1R,BE@1.5R,BE@2R
2022-02,0.96,0.96,0.96
2022-03,7.35,9.71,9.71
2022-04,8.92,13.46,13.46
2022-05,-4.6,-5.6,-5.6
2022-06,0.8,0.8,0.77
2022-07,20.39,18.39,19.49
2022-08,-5.25,-3.68,-3.68
2022-09,11.27,10.27,13.91
2022-10,7.15,6.45,10.57
2022-11,9.48,9.48,8.48
2022-12,13.16,13.16,13.16
2023-01,20.03,17.83,17.83
2023-02,5.73,7.12,8.24
2023-03,7.78,5.78,10.41
2023-04,-2.44,0.71,-1.29
2023-05,-4.24,-7.49,-7.36
2023-06,11.64,11.94,11.59
2023-07,6.05,5.05,3.05
2023-08,6.77,5.31,4.31
2023-09,14.53,16.88,16.88
2023-10,31.91,35.26,34.7
2023-11,33.63,34.67,33.67
2023-12,12.38,21.65,26.74
2024-01,25.54,24.54,24.54
2024-02,42.91,40.91,39.91
2024-03,17.22,17.13,20.45
2024-04,8.79,8.79,8.79
2024-05,-2.11,-5.11,-5.28
2024-06,24.97,22.97,28.66
2024-07,8.27,5.27,5.27
2024-08,4.49,1.49,7.36
2024-09,34.05,33.05,36.26
2024-10,9.09,9.09,11.33
2024-11,56.07,57.46,56.46
2024-12,14.58,15.92,15.92
2025-01,21.14,20.14,18.14
2025-02,30.07,30.07,29.07
2025-03,4.17,3.17,2.17
2025-04,8.06,8.06,7.06
2025-05,11.7,17.83,19.58
2025-06,8.17,7.17,5.17
2025-07,21.33,27.63,30.11
2025-08,16.03,23.03,33.95
2025-09,3.94,3.69,3.69
2025-10,50.82,50.55,50.55
2025-11,4.81,4.81,3.81
2025-12,-4.8,-5.5,-7.5
2026-01,9.54,7.54,4.62
2026-02,-2.49,0.27,-1.73
2026-03,21.09,23.75,21.75
2026-04,9.63,10.63,10.63
2026-05,5.5,7.88,6.88
2026-06,7.59,7.59,7.59
