symbol,entry_time,exit_time,R
ADAUSDT,2026-07-06 16:00:00+00:00,2026-07-07 08:43:00+00:00,-1.0
BNBUSDT,2026-07-04 08:00:00+00:00,2026-07-04 15:10:00+00:00,-1.0
BNBUSDT,2026-07-05 12:00:00+00:00,2026-07-05 16:01:00+00:00,-1.0
BTCUSDT,2026-07-06 12:00:00+00:00,2026-07-08 08:37:00+00:00,0.0
BTCUSDT,2026-07-17 04:00:00+00:00,2026-07-20 23:59:00+00:00,0.5631978735778767
DOGEUSDT,2026-07-01 12:00:00+00:00,2026-07-03 15:08:00+00:00,-1.0
ETHUSDT,2026-07-04 16:00:00+00:00,2026-07-04 23:29:00+00:00,3.0561427828798493
ETHUSDT,2026-07-16 12:00:00+00:00,2026-07-17 05:25:00+00:00,-1.0
SOLUSDT,2026-07-11 20:00:00+00:00,2026-07-12 00:30:00+00:00,-1.0
XRPUSDT,2026-07-05 00:00:00+00:00,2026-07-10 08:59:00+00:00,-0.38353524229074926
XRPUSDT,2026-07-11 20:00:00+00:00,2026-07-12 00:07:00+00:00,-1.0
