월,거래,합R,평균R,승률%,PF,누적R,스킴
2026-01,31,4.62,0.149,29.0,1.28,4.62,BE@2R
2026-02,12,-1.73,-0.144,25.0,0.81,2.89,BE@2R
2026-03,22,21.75,0.989,45.5,3.18,24.64,BE@2R
2026-04,29,10.63,0.367,41.4,1.7,35.27,BE@2R
2026-05,16,6.88,0.43,43.8,1.86,42.15,BE@2R
2026-06,8,7.59,0.948,50.0,3.3,49.74,BE@2R
2026-01,31,1.86,0.06,32.3,1.09,1.86,순정 1R3R
2026-02,12,-1.73,-0.144,25.0,0.81,0.13,순정 1R3R
2026-03,22,19.75,0.898,45.5,2.65,19.88,순정 1R3R
2026-04,29,10.63,0.367,41.4,1.7,30.51,순정 1R3R
2026-05,16,5.88,0.367,43.8,1.65,36.39,순정 1R3R
2026-06,8,7.59,0.948,50.0,3.3,43.98,순정 1R3R
2026-01,31,7.54,0.243,25.8,1.55,7.54,BE@1.5R
2026-02,12,0.27,0.022,25.0,1.04,7.81,BE@1.5R
2026-03,22,23.75,1.08,45.5,3.97,31.56,BE@1.5R
2026-04,29,10.63,0.367,41.4,1.7,42.19,BE@1.5R
2026-05,16,7.88,0.492,43.8,2.13,50.07,BE@1.5R
2026-06,8,7.59,0.948,50.0,3.3,57.66,BE@1.5R
2026-01,31,9.54,0.308,25.8,1.82,9.54,BE@1R
2026-02,12,-2.49,-0.208,16.7,0.64,7.05,BE@1R
2026-03,22,21.09,0.958,40.9,3.64,28.14,BE@1R
2026-04,29,9.63,0.332,37.9,1.63,37.77,BE@1R
2026-05,16,5.5,0.344,31.2,2.1,43.27,BE@1R
2026-06,8,7.59,0.948,50.0,3.3,50.86,BE@1R
