월,거래수,승,패,승률%,합R,평균R,PF,누적R
2022-02,8,2,6,25.0,-1.0,-0.125,0.83,-1.0
2022-03,13,6,7,46.2,7.0,0.538,2.0,6.0
2022-04,17,8,9,47.1,7.17,0.422,1.82,13.17
2022-05,4,2,2,50.0,3.0,0.75,2.5,16.17
2022-06,6,2,4,33.3,1.86,0.31,1.59,18.03
2022-07,19,11,8,57.9,13.86,0.729,2.73,31.89
2022-08,21,9,12,42.9,7.87,0.375,1.75,39.76
2022-09,24,12,12,50.0,6.71,0.28,1.67,46.47
2022-10,25,13,12,52.0,15.42,0.617,2.5,61.89
2022-11,17,12,5,70.6,17.7,1.041,4.54,79.59
2022-12,8,5,3,62.5,8.0,1.0,3.67,87.59
2023-01,31,18,13,58.1,29.67,0.957,3.36,117.26
2023-02,30,11,19,36.7,4.07,0.136,1.22,121.33
2023-03,43,20,23,46.5,17.18,0.399,1.75,138.51
2023-04,23,11,12,47.8,12.17,0.529,2.27,150.68
2023-05,15,7,8,46.7,7.68,0.512,2.05,158.36
2023-06,19,9,10,47.4,8.16,0.429,1.9,166.52
2023-07,22,12,10,54.5,16.66,0.757,3.22,183.18
2023-08,18,6,12,33.3,1.1,0.061,1.11,184.28
2023-09,18,9,9,50.0,14.86,0.826,2.83,199.14
2023-10,38,24,14,63.2,37.97,0.999,3.71,237.11
2023-11,31,18,13,58.1,24.31,0.784,2.94,261.42
2023-12,17,13,4,76.5,23.47,1.38,6.87,284.89
2024-01,22,10,12,45.5,11.65,0.529,1.97,296.54
2024-02,26,15,11,57.7,21.56,0.829,2.99,318.1
2024-03,24,13,11,54.2,19.33,0.805,2.88,337.43
2024-04,8,4,4,50.0,7.0,0.875,2.75,344.43
2024-05,27,8,19,29.6,-2.72,-0.101,0.84,341.71
2024-06,16,12,4,75.0,19.71,1.232,5.93,361.42
2024-07,30,13,17,43.3,12.56,0.419,1.74,373.98
2024-08,16,9,7,56.2,9.88,0.618,2.41,383.86
2024-09,27,14,13,51.9,14.33,0.531,2.17,398.19
2024-10,25,13,12,52.0,16.03,0.641,2.43,414.22
2024-11,39,28,11,71.8,46.2,1.185,5.2,460.42
2024-12,24,13,11,54.2,14.05,0.585,2.28,474.47
2025-01,32,13,19,40.6,12.81,0.4,1.71,487.28
2025-02,16,10,6,62.5,17.36,1.085,4.08,504.64
2025-03,16,6,10,37.5,4.94,0.309,1.55,509.58
2025-04,25,13,12,52.0,10.61,0.425,1.9,520.19
2025-05,27,17,10,63.0,32.59,1.207,4.46,552.78
2025-06,18,9,9,50.0,10.0,0.556,2.11,562.78
2025-07,24,17,7,70.8,30.87,1.286,5.41,593.65
2025-08,28,15,13,53.6,17.19,0.614,2.39,610.84
2025-09,15,8,7,53.3,9.76,0.65,2.39,620.6
2025-10,26,15,11,57.7,19.29,0.742,2.75,639.89
2025-11,11,8,3,72.7,13.3,1.209,5.43,653.19
2025-12,25,9,16,36.0,-2.7,-0.108,0.81,650.49
2026-01,30,11,19,36.7,3.12,0.104,1.18,653.61
2026-02,12,5,7,41.7,4.0,0.333,1.57,657.61
2026-03,22,12,10,54.5,12.34,0.561,2.23,669.95
2026-04,31,11,20,35.5,1.8,0.058,1.1,671.75
2026-05,14,8,6,57.1,10.35,0.739,2.72,682.1
