symbol,side,entry_ms,exit_ms,entry,sl,K,conf,r_v3,exit_reason,hold_h,entry_time,exit_time
ADAUSDT,short,1644422400000,1644452100000,1.2072,1.2174964285714287,2.0,False,2.0,TP,8.25,2022-02-09 16:00:00+00:00,2022-02-10 00:15:00+00:00
ADAUSDT,short,1645718400000,1646087400000,0.8321,0.952944,2.0,False,-1.0,SL,102.5,2022-02-24 16:00:00+00:00,2022-02-28 22:30:00+00:00
ADAUSDT,long,1648900800000,1648922400000,1.1717,1.1529308571428571,2.0,False,-1.0,SL,6.0,2022-04-02 12:00:00+00:00,2022-04-02 18:00:00+00:00
ADAUSDT,long,1651752000000,1651959900000,0.8144,0.7578377142857143,3.0,True,-1.0,SL,57.75,2022-05-05 12:00:00+00:00,2022-05-07 21:45:00+00:00
ADAUSDT,long,1658188800000,1658203200000,0.4836,0.4795053571428571,3.0,True,-1.0,SL,4.0,2022-07-19 00:00:00+00:00,2022-07-19 04:00:00+00:00
ADAUSDT,short,1658275200000,1658738700000,0.5294,0.5548571428571428,3.0,True,1.292368125701459,time_exit,128.75,2022-07-20 00:00:00+00:00,2022-07-25 08:45:00+00:00
ADAUSDT,short,1659672000000,1660135500000,0.5119,0.5575068571428571,2.0,False,-0.46703503232596655,time_exit,128.75,2022-08-05 04:00:00+00:00,2022-08-10 12:45:00+00:00
ADAUSDT,long,1660564800000,1660864500000,0.5541,0.518684,3.0,True,-1.0,SL,83.25,2022-08-15 12:00:00+00:00,2022-08-18 23:15:00+00:00
ADAUSDT,short,1662249600000,1662426000000,0.4862,0.5103902857142858,2.0,False,-1.0,SL,49.0,2022-09-04 00:00:00+00:00,2022-09-06 01:00:00+00:00
ADAUSDT,short,1662796800000,1662998400000,0.5173,0.5270228571428571,2.0,False,2.0,TP,56.0,2022-09-10 08:00:00+00:00,2022-09-12 16:00:00+00:00
ADAUSDT,long,1663084800000,1663164000000,0.4627,0.4510022857142857,2.0,False,2.0,TP,22.0,2022-09-13 16:00:00+00:00,2022-09-14 14:00:00+00:00
ADAUSDT,short,1663214400000,1663677900000,0.4767,0.5027862857142857,3.0,True,1.3110337122954587,time_exit,128.75,2022-09-15 04:00:00+00:00,2022-09-20 12:45:00+00:00
ADAUSDT,short,1666627200000,1666642500000,0.3592,0.3608892857142857,2.0,False,-1.0,SL,4.25,2022-10-24 16:00:00+00:00,2022-10-24 20:15:00+00:00
ADAUSDT,short,1667404800000,1667419200000,0.4037,0.4059732142857143,3.0,True,3.0,TP,4.0,2022-11-02 16:00:00+00:00,2022-11-02 20:00:00+00:00
ADAUSDT,short,1670054400000,1670396400000,0.3227,0.330652,2.0,False,2.0,TP,95.0,2022-12-03 08:00:00+00:00,2022-12-07 07:00:00+00:00
ADAUSDT,short,1670356800000,1670373000000,0.3178,0.3188022857142857,3.0,True,-1.0,SL,4.5,2022-12-06 20:00:00+00:00,2022-12-07 00:30:00+00:00
ADAUSDT,short,1673222400000,1673236800000,0.2998,0.302672,2.0,False,-1.0,SL,4.0,2023-01-09 00:00:00+00:00,2023-01-09 04:00:00+00:00
ADAUSDT,long,1673827200000,1674056700000,0.348,0.3341662857142857,2.0,False,-1.0,SL,63.75,2023-01-16 00:00:00+00:00,2023-01-18 15:45:00+00:00
ADAUSDT,long,1674417600000,1674881100000,0.369,0.3460902857142857,3.0,True,0.9777511723037018,time_exit,128.75,2023-01-22 20:00:00+00:00,2023-01-28 04:45:00+00:00
